DateDhwTank1Temp,DhwTank1Temp,DateDhwTank2Temp,DhwTank2Temp,DateDomHwSuplTemp,DomHwSuplTemp,DateHwRtnTemp,HwRtnTemp,DateHwSuplTemp,HwSuplTemp,DateDhwRtnTemp,DhwRtnTemp
2019-01-01T20:15:00.059-05:00,114.567337036,2019-01-01T20:15:00.060-05:00,114.364730835,2019-01-01T20:15:00.100-05:00,104.867546082,2019-01-01T20:15:00.058-05:00,161.278747559,2019-01-01T20:15:00.056-05:00,169.278778076,2019-01-01T20:15:00.113-05:00,98.4525146484
2019-01-01T20:15:00.059-05:00,114.567337036,2019-01-01T20:15:00.060-05:00,114.364730835,2019-01-01T20:15:00.100-05:00,104.867546082,2019-01-01T20:15:00.058-05:00,161.278747559,2019-01-01T20:15:00.056-05:00,169.278778076,2019-01-01T20:15:00.113-05:00,98.4525146484
2019-01-01T20:30:00.079-05:00,115.440353394,2019-01-01T20:30:00.094-05:00,114.702171326,2019-01-01T20:30:00.141-05:00,110.060340881,2019-01-01T20:30:00.067-05:00,156.882354736,2019-01-01T20:30:00.055-05:00,169.562057495,2019-01-01T20:30:00.164-05:00,97.9930877686
2018-12-28T18:30:00.078-05:00,121.647705078,2018-12-28T18:30:00.089-05:00,121.397186279,2018-12-28T18:30:00.139-05:00,116.503921509,2018-12-28T18:30:00.066-05:00,165.756439209,2018-12-28T18:30:00.054-05:00,172.237289429,2018-12-28T18:30:00.162-05:00,104.34169006347656
2018-12-28T18:45:00.765-05:00,120.957130432,2018-12-28T18:45:00.766-05:00,120.704727173,2018-12-28T18:45:00.805-05:00,115.774009705,2018-12-28T18:45:00.764-05:00,160.090911865,2018-12-28T18:45:00.763-05:00,174.883956909,2018-12-28T18:45:00.817-05:00,105.18114471435547
2018-12-28T19:00:00.077-05:00,121.647705078,2018-12-28T19:00:00.088-05:00,121.835144043,2018-12-28T19:00:00.137-05:00,115.239601135,2018-12-28T19:00:00.066-05:00,156.070755005,2018-12-28T19:00:00.054-05:00,178.460250854,2018-12-28T19:00:00.161-05:00,104.18315887451172
2018-12-28T19:15:00.084-05:00,121.835144043,2018-12-28T19:15:00.095-05:00,121.585136414,2018-12-28T19:15:00.145-05:00,114.364730835,2018-12-28T19:15:00.073-05:00,168.569152832,2018-12-28T19:15:00.061-05:00,180.093414307,2018-12-28T19:15:00.169-05:00,105.54521179199219
2018-12-28T19:30:00.076-05:00,122.146690369,2018-12-28T19:30:00.088-05:00,122.146690369,2018-12-28T19:30:00.142-05:00,109.865974426,2018-12-28T19:30:00.065-05:00,163.921340942,2018-12-28T19:30:00.054-05:00,173.355133057,2018-12-28T19:30:00.165-05:00,105.49331665039062
2018-12-28T19:45:00.075-05:00,121.27167511,2018-12-28T19:45:00.087-05:00,121.397186279,2018-12-28T19:45:00.137-05:00,108.687759399,2018-12-28T19:45:00.064-05:00,159.294387817,2018-12-28T19:45:00.052-05:00,172.796844482,2018-12-28T19:45:00.161-05:00,103.27789306640625
2018-12-28T20:00:00.071-05:00,120.134277344,2018-12-28T20:00:00.091-05:00,119.560287476,2018-12-28T20:00:00.141-05:00,114.432312012,2018-12-28T20:00:00.059-05:00,159.194564819,2018-12-28T20:00:00.048-05:00,175.575759888,2018-12-28T20:00:00.165-05:00,102.14318084716797
2018-12-28T20:15:00.084-05:00,122.333106995,2018-12-28T20:15:00.095-05:00,121.959884644,2018-12-28T20:15:00.145-05:00,117.490242004,2018-12-28T20:15:00.071-05:00,167.857513428,2018-12-28T20:15:00.060-05:00,174.606689453,2018-12-28T20:15:00.169-05:00,104.91990661621094
2018-12-28T20:30:00.356-05:00,122.704811096,2018-12-28T20:30:00.367-05:00,122.146690369,2018-12-28T20:30:00.417-05:00,116.702018738,2018-12-28T20:30:00.344-05:00,164.599777222,2018-12-28T20:30:00.332-05:00,172.517227173,2018-12-28T20:30:00.440-05:00,106.0619888305664
2018-12-28T20:45:00.367-05:00,123.320968628,2018-12-28T20:45:00.379-05:00,122.766616821,2018-12-28T20:45:00.428-05:00,115.50718689,2018-12-28T20:45:00.356-05:00,164.212432861,2018-12-28T20:45:00.343-05:00,169.845016479,2018-12-28T20:45:00.452-05:00,106.26760864257812
2018-12-28T21:00:00.090-05:00,123.749809265,2018-12-28T21:00:00.102-05:00,123.320968628,2018-12-28T21:00:00.151-05:00,114.9712677,2018-12-28T21:00:00.075-05:00,164.406219482,2018-12-28T21:00:00.064-05:00,170.127655029,2018-12-28T21:00:00.176-05:00,106.11344909667969
2018-12-28T21:15:00.086-05:00,124.176628113,2018-12-28T21:15:00.098-05:00,123.627487183,2018-12-28T21:15:00.148-05:00,119.560287476,2018-12-28T21:15:00.075-05:00,164.696456909,2018-12-28T21:15:00.063-05:00,172.517227173,2018-12-28T21:15:00.171-05:00,106.42142486572266
2018-12-28T21:30:00.083-05:00,124.237442017,2018-12-28T21:30:00.096-05:00,123.932975769,2018-12-28T21:30:00.145-05:00,117.03125,2018-12-28T21:30:00.072-05:00,166.331802368,2018-12-28T21:30:00.060-05:00,177.365386963,2018-12-28T21:30:00.168-05:00,107.99078369140625
2018-12-28T21:45:00.087-05:00,125.084518433,2018-12-28T21:45:00.100-05:00,124.722457886,2018-12-28T21:45:00.152-05:00,119.879600525,2018-12-28T21:45:00.076-05:00,160.48777771,2018-12-28T21:45:00.064-05:00,170.268859863,2018-12-28T21:45:00.175-05:00,107.68985748291016
2018-12-28T22:00:00.223-05:00,125.983329773,2018-12-28T22:00:00.290-05:00,125.385116577,2018-12-28T22:00:00.340-05:00,120.76789093,2018-12-28T22:00:00.071-05:00,166.523147583,2018-12-28T22:00:00.059-05:00,174.606689453,2018-12-28T22:00:00.364-05:00,109.13202667236328
2018-12-28T22:15:00.091-05:00,125.923690796,2018-12-28T22:15:00.297-05:00,125.385116577,2018-12-28T22:15:00.351-05:00,112.255378723,2018-12-28T22:15:00.078-05:00,162.849716187,2018-12-28T22:15:00.066-05:00,169.703582764,2018-12-28T22:15:00.375-05:00,108.19065856933594
2018-12-28T22:30:00.078-05:00,124.843299866,2018-12-28T22:30:00.090-05:00,124.963989258,2018-12-28T22:30:00.176-05:00,116.503921509,2018-12-28T22:30:00.067-05:00,163.824203491,2018-12-28T22:30:00.055-05:00,172.237289429,2018-12-28T22:30:00.203-05:00,103.6520767211914
2018-12-28T22:45:00.071-05:00,123.382354736,2018-12-28T22:45:00.091-05:00,124.661972046,2018-12-28T22:45:00.143-05:00,119.943336487,2018-12-28T22:45:00.059-05:00,164.018432617,2018-12-28T22:45:00.047-05:00,176.403366089,2018-12-28T22:45:00.166-05:00,105.90736389160156
2018-12-28T23:00:00.079-05:00,123.810905457,2018-12-28T23:00:00.091-05:00,123.013412476,2018-12-28T23:00:00.141-05:00,118.660293579,2018-12-28T23:00:00.068-05:00,163.142654419,2018-12-28T23:00:00.056-05:00,170.551025391,2018-12-28T23:00:00.164-05:00,108.09078979492188
2018-12-28T23:15:00.077-05:00,124.540878296,2018-12-28T23:15:00.088-05:00,123.688667297,2018-12-28T23:15:00.139-05:00,119.304031372,2018-12-28T23:15:00.065-05:00,167.286727905,2018-12-28T23:15:00.053-05:00,176.127807617,2018-12-28T23:15:00.165-05:00,107.94071960449219
2018-12-28T23:30:00.077-05:00,125.445121765,2018-12-28T23:30:00.089-05:00,125.024269104,2018-12-28T23:30:00.140-05:00,119.879600525,2018-12-28T23:30:00.066-05:00,163.629760742,2018-12-28T23:30:00.054-05:00,173.91217041,2018-12-28T23:30:00.163-05:00,108.43966674804688
2018-12-28T23:45:00.072-05:00,125.983329773,2018-12-28T23:45:00.083-05:00,125.385116577,2018-12-28T23:45:00.133-05:00,122.39516449,2018-12-28T23:45:00.061-05:00,164.018432617,2018-12-28T23:45:00.049-05:00,171.536071777,2018-12-28T23:45:00.156-05:00,109.08280944824219
2018-12-29T00:00:00.082-05:00,126.162017822,2018-12-29T00:00:00.093-05:00,125.624885559,2018-12-29T00:00:00.143-05:00,121.208847046,2018-12-29T00:00:00.069-05:00,161.475906372,2018-12-29T00:00:00.057-05:00,171.536071777,2018-12-29T00:00:00.166-05:00,110.30249786376953
2018-12-29T00:15:00.072-05:00,126.755073547,2018-12-29T00:15:00.084-05:00,126.221504211,2018-12-29T00:15:00.134-05:00,122.951774597,2018-12-29T00:15:00.061-05:00,163.921340942,2018-12-29T00:15:00.049-05:00,172.796844482,2018-12-29T00:15:00.157-05:00,109.91461944580078
2018-12-29T00:30:00.071-05:00,126.873214722,2018-12-29T00:30:00.083-05:00,126.518325806,2018-12-29T00:30:00.140-05:00,121.835144043,2018-12-29T00:30:00.060-05:00,161.869567871,2018-12-29T00:30:00.048-05:00,168.426986694,2018-12-29T00:30:00.166-05:00,110.15730285644531
2018-12-29T00:45:00.092-05:00,127.167884827,2018-12-29T00:45:00.103-05:00,127.109024048,2018-12-29T00:45:00.153-05:00,121.522529602,2018-12-29T00:45:00.080-05:00,164.793106079,2018-12-29T00:45:00.069-05:00,170.832870483,2018-12-29T00:45:00.176-05:00,109.81729888916016
2018-12-29T01:00:00.077-05:00,127.226699829,2018-12-29T01:00:00.088-05:00,126.932228088,2018-12-29T01:00:00.138-05:00,123.136558533,2018-12-29T01:00:00.065-05:00,164.986221313,2018-12-29T01:00:00.052-05:00,173.633804321,2018-12-29T01:00:00.161-05:00,110.25413513183594
2018-12-29T01:15:00.078-05:00,127.520195007,2018-12-29T01:15:00.089-05:00,127.226699829,2018-12-29T01:15:00.138-05:00,124.237442017,2018-12-29T01:15:00.066-05:00,163.435089111,2018-12-29T01:15:00.054-05:00,172.936523438,2018-12-29T01:15:00.162-05:00,110.6881103515625
2018-12-29T01:30:00.085-05:00,127.871124268,2018-12-29T01:30:00.100-05:00,127.695838928,2018-12-29T01:30:00.160-05:00,125.024269104,2018-12-29T01:30:00.071-05:00,167.286727905,2018-12-29T01:30:00.057-05:00,176.265625,2018-12-29T01:30:00.188-05:00,111.64242553710938
2018-12-29T01:45:00.113-05:00,128.800170898,2018-12-29T01:45:00.124-05:00,128.336868286,2018-12-29T01:45:00.174-05:00,124.722457886,2018-12-29T01:45:00.094-05:00,166.618743896,2018-12-29T01:45:00.075-05:00,175.29927063,2018-12-29T01:45:00.198-05:00,112.25537872314453
2018-12-29T02:00:00.074-05:00,128.97328186,2018-12-29T02:00:00.086-05:00,128.626724243,2018-12-29T02:00:00.135-05:00,125.505081177,2018-12-29T02:00:00.062-05:00,160.68586731,2018-12-29T02:00:00.051-05:00,165.082687378,2018-12-29T02:00:00.159-05:00,112.53634643554688
2018-12-29T02:15:00.083-05:00,129.375900269,2018-12-29T02:15:00.094-05:00,128.800170898,2018-12-29T02:15:00.148-05:00,122.084465027,2018-12-29T02:15:00.071-05:00,166.14024353,2018-12-29T02:15:00.060-05:00,172.657073975,2018-12-29T02:15:00.172-05:00,112.81611633300781
2018-12-29T02:30:00.079-05:00,129.605133057,2018-12-29T02:30:00.090-05:00,129.318496704,2018-12-29T02:30:00.140-05:00,125.204879761,2018-12-29T02:30:00.067-05:00,166.905197144,2018-12-29T02:30:00.055-05:00,175.160903931,2018-12-29T02:30:00.163-05:00,111.68978118896484
